"","IPC"
"1",30.21
"2",30.321
"3",30.349
"4",30.43
"5",30.433
"6",30.538
"7",30.656
"8",30.69
"9",30.978
"10",31.301
"11",31.305
"12",31.541
"13",31.78
"14",31.777
"15",31.872
"16",31.914
"17",31.979
"18",32.173
"19",32.33
"20",32.481
"21",32.561
"22",32.568
"23",32.744
"24",33.021
"25",33.349
"26",33.487
"27",33.614
"28",33.786
"29",33.856
"30",34.011
"31",33.984
"32",34.294
"33",34.407
"34",34.441
"35",34.498
"36",34.66
"37",34.814
"38",34.923
"39",35.113
"40",35.335
"41",35.403
"42",35.666
"43",35.8
"44",36.037
"45",36.2
"46",36.226
"47",36.462
"48",36.586
"49",37.117
"50",37.425
"51",37.754
"52",38.352
"53",38.761
"54",39.076
"55",40.078
"56",40.722
"57",41.691
"58",42.224
"59",42.744
"60",44.405
"61",45.996
"62",47.033
"63",47.396
"64",48.041
"65",48.417
"66",48.896
"67",49.603
"68",50.128
"69",50.696
"70",51.702
"71",53.137
"72",53.552
"73",54.237
"74",54.537
"75",54.88
"76",55.344
"77",56.084
"78",57.036
"79",57.494
"80",57.992
"81",58.413
"82",58.713
"83",59.124
"84",59.606
"85",60.759
"86",61.894
"87",62.502
"88",62.939
"89",63.38
"90",63.633
"91",64.17
"92",64.787
