Fecha,Total
2/28/2020,3
2/29/2020,4
3/1/2020,5
3/2/2020,5
3/3/2020,5
3/4/2020,5
3/5/2020,5
3/6/2020,6
3/7/2020,7
3/8/2020,7
3/9/2020,7
3/10/2020,7
3/11/2020,12
3/12/2020,15
3/13/2020,27
3/14/2020,41
3/15/2020,53
3/16/2020,82
3/17/2020,93
3/18/2020,118
3/19/2020,164
3/20/2020,203
3/21/2020,251
3/22/2020,316
3/23/2020,367
3/24/2020,405
3/25/2020,475
3/26/2020,585
3/27/2020,717
3/28/2020,848
3/29/2020,993
3/30/2020,1094
3/31/2020,1215
4/1/2020,1378
4/2/2020,1510
4/3/2020,1688
4/4/2020,1890
4/5/2020,2143
4/6/2020,2439
4/7/2020,2785
4/8/2020,3181
4/9/2020,3441
4/10/2020,3844
4/11/2020,4219
4/12/2020,4661
4/13/2020,5014
4/14/2020,5399
4/15/2020,5847
4/16/2020,6297
4/17/2020,6875
4/18/2020,7497
4/19/2020,8261
4/20/2020,8772
4/21/2020,9501
4/22/2020,10544
4/23/2020,11633
4/24/2020,12872
4/25/2020,13842
4/26/2020,14677
4/27/2020,15529
